locus_tag	name	type	description	functional	strand	rbs_start	rbs_stop	start_position	stop_position	tblist_regulon	tblist_operon	tu_id	functional_category
Rv0001	dnaA	CDS	Chromosomal replication initiator protein DnaA		+			1	1524	Predicted to be in the RelA|Rv2583c regulon (See Dahl et al., 2003).		TU0001	information pathways
Rv0002	dnaN	CDS	DNA polymerase III (beta chain) DnaN (DNA nucleotidyltransferase)		+			2052	3260			TU0002	information pathways
Rv0003	recF	CDS	DNA replication and repair protein RecF (single-strand DNA binding protein)		+			3280	4437	Predicted to be in the IdeR|Rv2711 regulon (See Gold et al., 2001).		TU0002	information pathways
Rv0004	Rv0004	CDS	Conserved hypothetical protein		+			4434	4997			TU0002	conserved hypotheticals	Prediction based on GO and InterPro: information pathways (See Mazandu and Mulder, 2012)
Rv0005	gyrB	CDS	DNA gyrase (subunit B) GyrB (DNA topoisomerase (ATP-hydrolysing)) (DNA topoisomerase II) (type II DNA topoisomerase)		+			5240	7267			TU0003	information pathways
Rv0006	gyrA	CDS	DNA gyrase (subunit A) GyrA (DNA topoisomerase (ATP-hydrolysing)) (DNA topoisomerase II) (type II DNA topoisomerase)		+			7302	9818			TU0003	information pathways
Rv0007	Rv0007	CDS	Possible conserved membrane protein		+			9914	10828			TU0004	cell wall and cell processes
MTB000001	ileT	tRNA	tRNA-Ile (GAT)		+			10887	10960				stable RNAs
MTB000002	alaT	tRNA	tRNA-Ala (TGC)		+			11112	11184				stable RNAs
Rv0008c	Rv0008c	CDS	Possible membrane protein		-			11874	12311			TU0005	cell wall and cell processes
Rv0009	ppiA	CDS	Probable iron-regulated peptidyl-prolyl cis-trans isomerase A PpiA (PPIase A) (rotamase A)		+			12468	13016	Predicted to be in the IdeR|Rv2711 regulon (See Prakash et al., 2005). Predicted to be in the RelA|Rv2583c regulon (See Dahl et al., 2003).		TU0006	information pathways
Rv0010c	Rv0010c	CDS	Probable conserved membrane protein		-			13133	13558			TU0007	cell wall and cell processes
Rv0011c	Rv0011c	CDS	Probable conserved transmembrane protein		-			13714	13995			TU0008	cell wall and cell processes
Rv0012	Rv0012	CDS	Probable conserved membrane protein		+			14089	14877			TU0009	cell wall and cell processes
Rv0013	trpG	CDS	Possible anthranilate synthase component II TrpG (glutamine amidotransferase)		+			14914	15612			TU0009	intermediary metabolism and respiration
Rv0014c	pknB	CDS	Transmembrane serine/threonine-protein kinase B PknB (protein kinase B) (STPK B)		-			15590	17470			TU0010	regulatory proteins
Rv0015c	pknA	CDS	Transmembrane serine/threonine-protein kinase A PknA (protein kinase A) (STPK A)		-			17467	18762			TU0010	regulatory proteins
Rv0016c	pbpA	CDS	Probable penicillin-binding protein PbpA		-			18759	20234			TU0010	cell wall and cell processes
Rv0017c	rodA	CDS	Probable cell division protein RodA		-			20231	21640			TU0010	cell wall and cell processes
Rv0018c	pstP	CDS	Phosphoserine/threonine phosphatase PstP		-			21637	23181			TU0010	regulatory proteins
Rv0019c	fhaB	CDS	Conserved protein with FHA domain, FhaB		-			23270	23737			TU0011	regulatory proteins
Rv0020c	fhaA	CDS	Conserved protein with FHA domain, FhaA		-			23861	25444			TU0012	regulatory proteins
MTB000003	leuT	tRNA	tRNA-Leu (CAG)		+			25644	25726				stable RNAs
Rv0021c	Rv0021c	CDS	Conserved hypothetical protein		-			25913	26881			TU0013	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv0022c	whiB5	CDS	Probable transcriptional regulatory protein WhiB-like WhiB5		-			27023	27442			TU0014	regulatory proteins
Rv0023	Rv0023	CDS	Possible transcriptional regulatory protein		+			27595	28365			TU0015	regulatory proteins
Rv0024	Rv0024	CDS	Putative secreted protein P60-related protein		+			28362	29207			TU0015	virulence, detoxification, adaptation
Rv0025	Rv0025	CDS	Conserved hypothetical protein		+			29245	29607			TU0015	conserved hypotheticals	Prediction based on GO and InterPro: regulatory proteins (See Mazandu and Mulder, 2012)
Rv0026	Rv0026	CDS	Conserved hypothetical protein		+			29722	31068			TU0016	conserved hypotheticals	Prediction based on GO and InterPro: cell wall and cell processes (See Mazandu and Mulder, 2012)
Rv0027	Rv0027	CDS	Conserved hypothetical protein		+			31189	31506			TU0017	conserved hypotheticals
Rv0028	Rv0028	CDS	Conserved hypothetical protein		+			31514	31819			TU0017	conserved hypotheticals
Rv0029	Rv0029	CDS	Conserved hypothetical protein		+			32057	33154			TU0018	conserved hypotheticals
Rv0030	Rv0030	CDS	Conserved hypothetical protein		+			33224	33553			TU0019	conserved hypotheticals	Prediction based on GO and InterPro: insertion seqs and phages (See Mazandu and Mulder, 2012)
Rv0031	Rv0031	CDS	Possible remnant of a transposase		+			33582	33794			TU0019	insertion seqs and phages
Rv0032	bioF2	CDS	Possible 8-amino-7-oxononanoate synthase BioF2 (AONS) (8-amino-7-ketopelargonate synthase) (7-keto-8-amino-pelargonic acid synthetase) (7-KAP synthetase) (L-alanine--pimelyl CoA ligase)		+			34295	36610			TU0020	intermediary metabolism and respiration
Rv0033	acpA	CDS	Probable acyl carrier protein AcpA (ACP)		+			36607	36870			TU0020	lipid metabolism
Rv0034	Rv0034	CDS	Conserved hypothetical protein		+			36867	37262			TU0020	conserved hypotheticals	Prediction based on GO and InterPro: lipid metabolism (See Mazandu and Mulder, 2012)
Rv0035	fadD34	CDS	Probable fatty-acid-CoA ligase FadD34 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase)		+			37259	38947			TU0020	lipid metabolism
Rv0036c	Rv0036c	CDS	Conserved protein		-			39056	39829			TU0021	conserved hypotheticals	Prediction based on GO and InterPro: cell wall and cell processes (See Mazandu and Mulder, 2012)
Rv0037c	Rv0037c	CDS	Probable conserved integral membrane protein		-			39877	41202			TU0022	cell wall and cell processes
Rv0038	Rv0038	CDS	Conserved protein		+			41304	41912			TU0023	conserved hypotheticals	Prediction based on GO and InterPro: information pathways (See Mazandu and Mulder, 2012)
Rv0039c	Rv0039c	CDS	Possible conserved transmembrane protein		-	42356	42360	42004	42351			TU0024	cell wall and cell processes
Rv0040c	mtc28	CDS	Secreted proline rich protein Mtc28 (proline rich 28 kDa antigen)		-	43375	43380	42433	43365			TU0025	cell wall and cell processes
Rv0041	leuS	CDS	Probable leucyl-tRNA synthetase LeuS (leucine--tRNA ligase) (LEURS)		+			43562	46471			TU0026	information pathways
Rv0042c	Rv0042c	CDS	Possible transcriptional regulatory protein (probably MarR-family)		-			46581	47207			TU0027	regulatory proteins
Rv0043c	Rv0043c	CDS	Probable transcriptional regulatory protein (probably GntR-family)		-			47366	48100			TU0028	regulatory proteins
Rv0044c	Rv0044c	CDS	Possible oxidoreductase		-			48233	49027			TU0029	intermediary metabolism and respiration
Rv0045c	Rv0045c	CDS	Possible hydrolase		-			49043	49939			TU0029	lipid metabolism
Rv0046c	ino1	CDS	myo-inositol-1-phosphate synthase Ino1 (inositol 1-phosphate synthetase) (D-glucose 6-phosphate cycloaldolase) (glucose 6-phosphate cyclase) (glucocycloaldolase)		-	51132	51138	50021	51124	Predicted to be in the RelA|Rv2583c regulon (See Dahl et al., 2003).	Rv0047c and Rv0046c are co-transcribed, by RT-PCR (see Roback et al., 2007).	TU0030	intermediary metabolism and respiration
Rv0047c	Rv0047c	CDS	Conserved protein		-	51735	51741	51185	51727		Rv0047c and Rv0046c are co-transcribed, by RT-PCR (see Roback et al., 2007).	TU0031	conserved hypotheticals
Rv0048c	Rv0048c	CDS	Possible membrane protein		-			51828	52697			TU0032	cell wall and cell processes
Rv0049	Rv0049	CDS	Conserved hypothetical protein		+			52831	53244			TU0033	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv0050	ponA1	CDS	Probable bifunctional penicillin-binding protein 1A/1B PonA1 (murein polymerase) (PBP1): penicillin-insensitive transglycosylase (peptidoglycan TGASE) + penicillin-sensitive transpeptidase (DD-transpeptidase)		+			53663	55699			TU0034	cell wall and cell processes
Rv0051	Rv0051	CDS	Probable conserved transmembrane protein		+			55696	57378			TU0034	cell wall and cell processes
Rv0052	Rv0052	CDS	Conserved protein		+	57395	57398	57410	57973			TU0034	conserved hypotheticals
Rv0053	rpsF	CDS	30S ribosomal protein S6 RpsF		+	58173	58178	58192	58482	Predicted to be in the RelA|Rv2583c regulon (See Dahl et al., 2003).		TU0035	information pathways
